z_acc,y_acc,push_detect,z_dynpeak
7,4,0,40
11,11,0,40
-7,-3,0,40
8,5,0,40
-5,2,0,40
-10,0,0,40
0,-39,0,40
-37,50,0,40
52,-26,0,40
52,-26,1,40
-28,24,0,41
-39,-20,0,41
46,27,0,41
-3,9,0,41
23,2,0,41
0,-6,0,35
-24,-5,0,35
-3,-1,0,35
-3,3,0,35
7,-7,0,35
-2,2,0,35
-1,-2,0,35
-1,1,0,35
-1,1,0,35
-2,0,0,35
-4,0,0,35
3,-2,0,35
16,-1,0,35
-19,3,0,35
16,-6,0,35
39,24,0,35
39,24,1,35
-67,-16,0,35
11,2,0,35
2,-2,0,35
-2,3,0,35
3,9,0,35
-11,-12,0,35
8,2,0,35
6,0,0,35
-5,-2,0,35
1,-1,0,35
-2,-1,0,35
-1,-1,0,35
1,-1,0,35
-2,-1,0,35
1,-1,0,35
3,3,0,35
-4,-4,0,35
-3,-1,0,35
-1,3,0,35
-1,-2,0,35
-6,-6,0,35
8,8,0,35
-5,-7,0,35
1,2,0,35
0,-2,0,35
1,1,0,35
-4,1,0,35
3,-2,0,35
-4,-2,0,35
1,-1,0,35
0,3,0,35
0,-2,0,35
